Country_ID,Timestamp,Country,Region_ID
1,,Benin,1.0
2,,Botswana,1.0
3,,Congo,1.0
4,,Cote d'Ivoire,1.0
5,,Ghana,1.0
6,,Ivory Coast,1.0
7,,Kenya,1.0
8,,Malawi,1.0
9,,Mauritius,1.0
10,,Nigeria,1.0
11,,Reunion Island,1.0
12,,South Africa,1.0
13,,Tanzania,1.0
14,,Togo,1.0
15,,Uganda,1.0
16,,Zambia,1.0
17,,Zimbabwe,1.0
18,,Belarus,2.0
19,,"Benelux: Belgium, Holland, Luxembourg",2.0
20,,Bulgaria,2.0
21,,Cambodia,2.0
22,,Croatia,2.0
23,,Czechia,2.0
24,,Denmark,2.0
25,,France,2.0
26,,GBC Office,2.0
27,,Germany,2.0
28,,Greece,2.0
29,,Hungary,2.0
30,,Ireland,2.0
31,,Italy,2.0
32,,Kazakhstan,2.0
33,,Lithuania,2.0
34,,Moldova,2.0
35,,Netherlands,2.0
36,,Norway,2.0
37,,Romania,2.0
38,,Russia,2.0
39,,Scotland,2.0
40,,Spain,2.0
41,,Ukraine,2.0
42,,United Kingdom,2.0
43,,Central Asia,3.0
44,,China,3.0
45,,Japan,3.0
46,,Malaysia,3.0
47,,Middle East,3.0
48,,Mongolia,3.0
49,,Nepal,3.0
50,,Pakistan,3.0
51,,Philippines,3.0
52,,Singapore,3.0
53,,Sri Lanka,3.0
54,,Taiwan,3.0
55,,Thailand,3.0
56,,India,4.0
57,,Canada,5.0
58,,Puerto Rico,5.0
59,,USA,5.0
60,,Australia,6.0
61,,Fiji,7.0
62,,New Zealand,8.0
63,,Argentina,9.0
64,,Brazil,9.0
65,,Chile,9.0
66,,Colombia,9.0
67,,Costa Rica,9.0
68,,El Salvador,9.0
69,,Honduras,9.0
70,,Mexico,5.0
71,,Nicaragua,9.0
72,,Panama,9.0
73,,Peru,9.0
74,,Espana,9.0
75,,Trinidad and Tobago,9.0
76,,Uruguay,9.0
77,,Venezuela,9.0
78,,Slovenia,2.0
79,,Turkey,2.0
80,,North Macedonia,2.0
81,,Bangladesh,3.0
82,,Bolivia,9.0
83,,Sweden,2.0
84,,Algeria,1.0
85,,Burkina Faso,1.0
86,,Cameroon,1.0
87,,Chad,1.0
88,,Egypt,1.0
89,,Libya,1.0
90,,Morroco,1.0
91,,Sudan,1.0
92,,Tunisia,1.0
93,,GBC Team,1.0
94,,Suriname,9.0
95,,,
96,,,
97,,,
